,LATITUDE,LONGITUDE,SURVEY_YEAR,CPUE,BOTTOM_TEMPERATURE,SURFACE_TEMPERATURE
214,55.03242,-166.9285,1991,1463.5,3.4,7.8
215,55.03275,-166.31133,1988,778.0,3.9,6.0
216,55.03333,-166.93333,1976,1215.0,4.3,6.7
218,55.03676,-166.37482,1996,887.0,4.2,7.6
219,55.03692,-166.31942,1989,778.0,3.7,6.2
220,55.03767,-164.57992,1994,73.0,4.6,7.0
223,55.04206,-164.5839,2006,76.0,4.6,6.9
224,55.04372,-164.58529,2014,90.0,6.7,7.9
225,55.04677,-164.57856,2016,77.0,6.7,8.4
226,55.0485,-164.51983,1983,80.0,5.7,7.2
227,55.28575,-166.96742,1990,325.5,3.5,7.4
228,55.2925,-164.57167,1979,935.0,4.5,5.8
229,55.29759,-163.96767,1988,211.0,4.5,6.3
230,55.30209,-165.17475,1988,276.0,4.2,7.0
231,55.30792,-165.80192,1991,295.0,3.8,7.2
232,55.30882,-164.55007,2016,671.0,5.5,8.7
233,55.3095,-165.78392,1994,735.0,3.9,6.4
234,55.31336,-165.17061,2000,346.0,4.0,4.9
235,55.315,-165.1625,1979,987.5,4.5,5.4
236,55.31509,-164.59269,1998,1228.0,5.2,6.4
237,55.31667,-167.56917,1979,4557.0,3.9,6.5
238,55.31667,-166.33333,1977,316.5,4.0,7.1
240,55.31809,-164.55942,1994,1029.5,4.5,7.0
241,55.31842,-165.16785,2014,418.0,4.2,7.8
242,55.31852,-165.1685,2009,243.0,3.5,5.8
243,55.31861,-165.7917,2016,673.0,4.9,8.1
244,55.3187,-163.41001,2004,822.0,4.7,7.4
245,55.31925,-166.3565,1986,224.0,3.6,6.5
246,55.31942,-164.62475,1989,572.0,4.0,5.7
247,55.3195,-165.78892,1987,146.0,4.4,7.2
248,55.31969,-166.34498,2015,571.5,4.7,8.0
249,55.32,-166.37417,1979,304.0,4.2,5.7
250,55.32225,-166.96983,1986,103.5,3.7,6.7
251,55.32273,-165.16108,1996,217.0,4.5,7.4
252,55.3232,-165.7842,2014,976.0,4.3,9.0
253,55.32334,-166.96667,1978,1243.0,3.9,6.2
254,55.3234,-165.16745,2007,1324.0,3.3,6.0
255,55.32434,-164.63934,1990,4031.0,3.6,7.2
256,55.32443,-167.54392,1997,134.0,4.0,7.8
257,55.3245,-165.166,1985,150.5,3.9,9.2
258,55.32525,-166.34267,1982,285.0,4.2,9.9
259,55.32526,-165.16175,2008,2657.5,3.4,5.8
260,55.32544,-165.17135,2016,269.0,5.0,9.2
261,55.32558,-165.17568,2012,259.0,2.8,4.7
262,55.32559,-163.41392,1994,193.0,4.5,7.1
263,55.32564,-165.16973,2010,984.0,3.9,5.2
264,55.32571,-165.17668,1997,273.0,4.4,7.4
265,55.32592,-164.0292,2000,506.0,3.2,5.0
266,55.32634,-165.16809,1987,377.0,4.6,6.4
267,55.32643,-165.77843,1998,923.0,4.1,8.3
268,55.32678,-167.5531,1998,947.0,3.7,8.0
269,55.32683,-163.99267,1993,222.0,4.5,8.5
270,55.32684,-165.78375,1992,589.0,4.1,9.0
271,55.32711,-166.34735,2002,486.0,3.6,6.7
272,55.32725,-165.77292,1986,147.0,4.2,6.8
273,55.32738,-165.17083,2015,321.0,5.1,7.1
274,55.32739,-164.01373,2018,72.0,4.6,7.2
275,55.32758,-164.5912,1995,1513.0,3.1,6.8
277,55.32843,-163.40496,2002,299.0,4.3,6.8
278,55.32869,-166.97635,2004,499.0,4.1,7.8
279,55.32874,-165.16488,2011,891.0,4.1,6.6
280,55.32876,-166.34955,1999,395.0,3.3,4.9
281,55.32884,-165.16959,1986,331.5,4.3,5.8
282,55.32886,-165.16905,2006,1920.5,3.8,6.2
284,55.32908,-166.35,1993,993.0,4.0,7.6
285,55.32967,-164.59017,1981,389.0,4.2,5.5
286,55.32981,-164.00565,2002,520.0,4.2,6.3
287,55.32987,-164.6048,1999,1809.0,2.8,4.8
288,55.32992,-166.95608,1985,246.0,3.8,9.1
289,55.33005,-166.96195,2013,1013.0,3.7,6.7
290,55.3301,-165.20028,1998,319.0,4.0,6.9
291,55.33013,-164.03948,2013,216.0,3.9,6.6
292,55.33027,-165.77293,2013,117.0,4.2,5.7
293,55.33035,-165.77825,2002,671.0,4.0,6.7
294,55.3304,-165.7794,1996,528.0,4.3,7.5
295,55.3308,-164.57739,2012,120.0,2.2,4.9
296,55.33082,-167.53706,2013,21852.0,3.7,6.1
297,55.33083,-166.40834,1978,760.0,4.0,6.1
298,55.33105,-165.78585,2000,294.0,3.5,6.5
299,55.33108,-163.99742,1983,296.0,4.9,8.3
300,55.33109,-166.97908,1984,642.0,4.4,8.2
301,55.33113,-166.9694,2005,566.0,4.2,8.2
302,55.33113,-166.349,2003,724.0,4.5,7.7
303,55.33117,-165.7776,2003,318.0,4.5,7.1
304,55.3313,-166.95171,2001,309.5,3.9,7.8
305,55.33131,-166.94486,2003,198.0,4.5,7.9
307,55.33159,-166.95967,1993,2189.0,3.9,8.3
308,55.33162,-165.1698,2004,225.5,4.4,7.9
309,55.33165,-164.03887,2014,129.0,4.9,8.1
310,55.33167,-163.4025,1978,1381.5,4.5,6.1
311,55.33188,-165.17425,2001,322.5,4.2,7.5
312,55.332,-166.96575,1994,4370.0,3.9,6.5
313,55.332,-164.58784,1984,334.5,4.8,9.6
314,55.33205,-166.96639,1995,687.0,3.3,6.3
315,55.33206,-164.03076,2017,217.0,4.7,9.3
316,55.33209,-166.95983,1981,1143.0,4.3,5.7
317,55.33213,-164.57769,2010,861.5,3.0,4.8
318,55.33235,-166.96354,1997,138.0,3.9,7.3
319,55.33237,-165.79166,2017,1084.0,4.4,9.3
320,55.33247,-167.54595,1999,243.0,3.4,5.6
321,55.33247,-166.97908,1998,213.0,4.0,8.0
322,55.33258,-164.0055,1982,849.0,3.7,7.0
324,55.33276,-165.17104,2013,181.0,3.7,6.1
325,55.33283,-166.35717,1985,383.0,4.1,9.6
326,55.33284,-165.1642,2002,544.0,4.6,6.2
327,55.33284,-164.01675,1981,613.0,5.6,10.6
328,55.33284,-163.99592,1980,132.0,4.0,6.5
329,55.33313,-163.40709,2014,349.0,4.4,8.1
330,55.33333,-167.55,1975,2348.0,3.2,7.2
331,55.33333,-166.95,1975,1189.0,2.8,5.7
332,55.33333,-166.95,1977,898.0,3.7,9.6
333,55.33333,-166.33333,1975,660.0,3.6,5.3
334,55.33333,-165.78333,1975,241.5,3.5,5.6
336,55.33333,-165.16667,1975,1796.0,3.4,5.0
338,55.33333,-164.58333,1975,4590.5,2.7,5.4
339,55.33333,-164.58333,1977,2387.0,4.0,7.2
341,55.33333,-164.0,1977,2355.0,4.9,7.2
342,55.33333,-163.98333,1975,12615.5,3.7,5.6
343,55.33333,-163.44667,1979,422.0,6.5,7.8
344,55.33342,-167.54183,1986,243.0,3.8,6.2
345,55.3335,-165.1435,1984,712.0,5.5,8.1
346,55.3336,-166.96669,2014,256.0,4.0,8.8
347,55.33382,-165.16499,2018,190.0,4.8,7.4
348,55.33401,-164.54669,2013,411.0,3.8,6.7
349,55.33402,-165.18615,1995,67.0,3.5,5.6
350,55.33409,-166.35245,2016,1742.0,4.7,9.1
351,55.33409,-165.16809,1981,316.5,3.9,5.8
352,55.33417,-165.77917,1978,169.0,3.8,5.4
353,55.33417,-165.16184,1990,462.0,3.9,7.1
354,55.33418,-165.78949,2010,539.5,4.2,5.5
355,55.33434,-165.155,1983,714.0,4.5,7.1
356,55.33437,-165.16261,2003,888.0,4.9,7.2
357,55.33437,-164.03452,2015,150.0,5.0,7.2
358,55.33442,-165.79658,1984,304.0,3.3,7.3
359,55.33461,-165.78435,2012,1759.0,3.4,5.4
360,55.33469,-163.44449,1996,115.5,4.0,7.3
361,55.33472,-167.55025,2004,1385.5,4.2,7.0
362,55.33482,-165.1572,2017,850.0,4.7,10.0
363,55.3349,-167.55157,2015,4002.5,4.4,9.1
364,55.3349,-163.42415,1999,2405.0,2.5,4.4
365,55.33492,-164.00315,1998,69.0,4.9,6.3
366,55.335,-166.96819,2015,4239.0,4.9,9.5
368,55.335,-164.60083,1978,1588.5,3.5,6.2
369,55.335,-164.575,1982,824.0,3.1,5.4
370,55.33505,-165.78115,2009,684.0,3.6,5.8
371,55.33517,-164.55359,1986,656.0,3.9,5.8
372,55.33517,-163.42917,1984,424.0,3.4,7.6
373,55.33521,-166.9958,2000,141.0,3.5,5.4
374,55.33525,-166.9754,2018,2063.0,4.4,7.7
375,55.33534,-164.58167,1983,525.5,4.6,9.2
376,55.33541,-166.97205,2007,588.0,3.5,8.8
377,55.33541,-163.43236,2011,283.5,4.7,5.7
379,55.33547,-167.54125,1995,506.0,3.6,5.8
380,55.33559,-165.7955,1985,289.0,4.0,9.2
381,55.33566,-166.9608,2010,124.0,3.8,6.2
382,55.33567,-165.16742,1982,290.0,4.1,5.3
383,55.33567,-164.00475,1992,208.0,4.8,9.0
384,55.3357,-163.43637,1997,910.0,3.4,7.4
385,55.33577,-163.41801,2015,431.0,5.8,7.6
386,55.33583,-163.9925,1978,912.0,3.5,6.6
387,55.33584,-163.41151,2001,1765.0,3.6,8.4
388,55.3359,-163.42169,1998,408.0,5.6,6.9
389,55.33591,-167.54758,2011,1374.0,3.8,7.5
390,55.33592,-167.56075,1981,2187.0,4.1,6.0
391,55.336,-166.35267,1992,366.5,3.8,7.3
392,55.336,-165.17459,1991,700.0,4.2,6.8
393,55.33617,-167.54434,1983,1209.0,4.1,8.9
395,55.33642,-164.57392,1985,234.0,5.0,8.5
396,55.33657,-164.04388,2016,73.0,6.3,9.4
397,55.33659,-166.34514,2013,1063.0,3.7,6.5
398,55.33664,-164.0352,1999,194.0,2.3,4.6
399,55.33674,-164.563,2018,311.0,5.1,7.5
400,55.33675,-167.53784,1994,288.0,3.3,6.0
402,55.33686,-163.42504,2010,386.5,2.2,5.3
403,55.33726,-166.3472,2008,2713.0,3.2,6.3
404,55.33733,-166.95025,1989,340.0,3.5,7.2
405,55.33734,-165.79625,1981,528.5,4.6,5.9
406,55.33738,-165.77183,1997,214.0,4.0,8.3
407,55.3375,-166.97334,1979,1266.0,3.9,6.4
408,55.3375,-165.79417,1982,1204.0,3.9,7.9
409,55.3375,-163.42,1982,148.0,4.4,5.7
410,55.33767,-165.78035,2007,1940.0,3.5,6.2
411,55.3379,-166.3425,2009,245.0,3.4,6.6
412,55.33793,-164.02735,2009,460.5,3.0,5.1
413,55.33795,-164.02281,2004,419.0,4.9,7.9
414,55.338,-167.54825,1985,135.0,3.8,8.8
415,55.33813,-166.35759,1998,499.0,3.8,8.7
416,55.33817,-166.987,1983,577.0,4.2,9.0
417,55.33823,-167.55326,2005,535.0,4.3,7.4
418,55.33824,-163.43134,1999,69.0,5.1,7.9
419,55.33825,-166.33667,1983,305.0,4.2,7.8
420,55.33825,-163.412,2009,2750.0,3.2,4.9
421,55.3383,-164.0335,2001,149.0,4.2,7.2
422,55.33833,-163.40931,2008,2320.0,3.4,4.4
423,55.33836,-165.17625,2005,1771.0,4.6,6.7
424,55.33842,-166.35009,1994,851.5,3.3,5.7
425,55.33864,-163.42658,2012,1190.0,2.4,4.9
427,55.33878,-166.35275,2004,312.0,4.1,7.8
428,55.33879,-164.02536,2006,201.0,3.7,7.6
429,55.33888,-165.79256,2018,7731.0,4.5,7.6
430,55.3389,-164.01825,2008,294.0,2.8,4.7
431,55.33899,-165.78701,2004,862.0,4.1,7.9
432,55.33903,-164.58557,1996,869.0,4.7,7.4
433,55.33906,-166.97023,2017,184.0,4.4,7.8
434,55.33924,-166.34896,2007,1913.0,3.5,6.2
435,55.33925,-164.55592,1980,1585.0,3.6,6.6
436,55.33942,-165.17409,1993,104.0,4.5,6.5
437,55.33947,-166.96465,1996,334.0,4.3,7.1
438,55.33971,-167.55911,2017,1463.5,4.3,7.3
439,55.33972,-167.57105,2000,259.0,3.6,5.4
440,55.33975,-166.3507,2010,186.0,4.0,5.5
441,55.33975,-165.14584,1980,1496.0,4.6,5.4
442,55.33992,-164.01416,2005,112.5,4.8,6.0
443,55.34,-163.98584,1979,1194.0,5.0,8.5
444,55.34023,-163.43775,2000,443.0,2.5,5.3
445,55.34025,-164.5815,1987,598.0,5.2,6.4
446,55.34025,-163.4235,1983,1193.5,3.7,8.5
447,55.34026,-163.40007,1995,233.0,2.8,7.4
448,55.34028,-163.42272,2012,329.0,6.4,8.2
449,55.34032,-165.14725,1999,680.5,2.8,4.4
450,55.34034,-167.5564,2014,644.0,4.1,11.1
451,55.34038,-164.01655,2007,412.0,3.1,5.9
452,55.3405,-166.96156,2008,921.0,3.3,7.6
453,55.3405,-164.60767,1988,682.0,4.2,6.9
454,55.3405,-164.00367,1990,1376.0,4.1,6.5
455,55.34074,-163.42092,2017,622.0,3.3,8.9
456,55.3408,-164.01968,2011,217.0,3.9,5.9
457,55.34084,-166.9825,1982,1230.0,4.0,7.9
458,55.34092,-166.35212,1995,879.0,3.2,6.3
459,55.3414,-166.33822,2017,152.0,4.4,7.5
460,55.34147,-166.34502,2012,470.0,2.9,5.7
461,55.34156,-164.5672,2009,654.0,2.8,4.8
462,55.34162,-166.97381,2002,209.0,3.6,7.3
463,55.34165,-163.97557,1997,238.0,3.0,7.5
464,55.34167,-166.39925,1981,209.0,4.3,5.8
465,55.34175,-167.55159,1992,350.5,4.0,7.2
466,55.34175,-164.05067,1984,164.0,4.0,7.1
467,55.3419,-163.42866,2018,689.0,5.2,6.8
468,55.34194,-163.42474,2013,307.0,3.2,6.1
469,55.34219,-164.55215,2007,1926.0,3.3,6.2
470,55.34225,-166.96534,1992,585.0,3.9,7.2
471,55.34239,-165.78714,2011,220.0,4.0,8.1
472,55.3425,-165.16084,1978,553.0,3.6,5.4
473,55.34251,-167.5561,2016,205.0,4.6,8.2
474,55.343,-167.528,1991,503.0,3.4,9.9
475,55.343,-165.78768,2015,2058.0,4.8,8.2
476,55.343,-165.78683,1993,3177.0,4.2,7.2
477,55.34308,-167.55775,2002,4939.0,3.6,6.2
478,55.34313,-164.56089,2017,543.0,4.8,9.7
479,55.34349,-167.56644,2010,1108.0,3.9,6.4
480,55.34359,-167.4732,2001,181.5,3.9,8.0
481,55.34384,-165.17792,1994,402.5,3.6,5.7
482,55.34384,-164.54315,2000,2852.0,3.2,5.8
483,55.34388,-164.55249,2014,1446.5,4.6,8.4
484,55.3439,-166.9672,2012,99.5,3.0,5.7
485,55.34394,-164.55685,2008,1681.5,2.5,5.1
486,55.34409,-165.1685,1992,486.0,4.5,7.5
488,55.34429,-165.79561,2005,1143.5,4.3,6.4
489,55.34436,-164.55195,2011,1876.0,4.6,7.2
490,55.34438,-165.79126,2008,932.0,3.3,5.8
491,55.34442,-165.78184,1989,14598.0,3.5,6.5
492,55.34447,-166.96761,2006,840.0,4.0,6.6
493,55.34489,-164.01365,2003,902.0,4.8,7.1
494,55.34492,-163.39125,1989,174.0,3.1,7.0
495,55.34517,-166.35984,1984,788.0,6.9,8.2
496,55.34525,-166.96084,1987,370.0,4.3,7.0
497,55.34538,-166.96656,2009,482.0,3.4,6.2
498,55.34538,-166.35465,2000,407.0,3.6,5.8
499,55.34546,-165.78309,1995,451.5,3.7,6.7
501,55.34583,-165.79617,1983,1118.0,4.4,7.5
502,55.34602,-166.97281,2011,896.0,3.8,7.6
503,55.34611,-164.55555,2002,770.5,4.7,7.3
504,55.34617,-163.41767,1992,40362.0,2.1,4.7
505,55.3463,-166.95129,2016,204.0,4.7,9.1
506,55.34666,-166.3683,2005,366.0,4.2,6.2
507,55.3467,-164.56199,2015,2309.5,5.1,7.3
508,55.34682,-165.77575,2001,953.0,4.3,8.6
509,55.347,-167.52134,1984,1097.0,4.5,9.1
510,55.34713,-166.35008,2014,1341.0,4.1,8.8
511,55.34722,-167.55333,2018,5732.0,4.4,7.8
513,55.34728,-164.55126,2004,987.0,4.5,7.8
514,55.34739,-167.54485,2006,1636.0,3.7,6.8
515,55.34742,-166.36292,1991,501.0,3.7,7.6
516,55.3475,-167.55,1978,138.0,3.9,6.3
517,55.34759,-167.55242,1989,2056.0,3.9,7.2
518,55.34767,-166.97217,1988,248.0,3.5,7.6
519,55.3477,-166.36501,1996,540.0,4.2,7.9
